observation_date,INDPRO
2010-01-01,89.1897
2010-02-01,89.5046
2010-03-01,90.1356
2010-04-01,90.4607
2010-05-01,91.7014
2010-06-01,91.9033
2010-07-01,92.2549
2010-08-01,92.5936
2010-09-01,92.8533
2010-10-01,92.6033
2010-11-01,92.6686
2010-12-01,93.5916
2011-01-01,93.3889
2011-02-01,93.0045
2011-03-01,93.9684
2011-04-01,93.6571
2011-05-01,93.7723
2011-06-01,94.0493
2011-07-01,94.4958
2011-08-01,95.0974
2011-09-01,95.0244
2011-10-01,95.6891
2011-11-01,95.6778
2011-12-01,96.1809
2012-01-01,96.7595
2012-02-01,97.0662
2012-03-01,96.5609
2012-04-01,97.2510
2012-05-01,97.4595
2012-06-01,97.4768
2012-07-01,97.6714
2012-08-01,97.2734
2012-09-01,97.2217
2012-10-01,97.5311
2012-11-01,97.9084
2012-12-01,98.1884
2013-01-01,98.1736
2013-02-01,98.6434
2013-03-01,99.0470
2013-04-01,98.9445
2013-05-01,99.0383
2013-06-01,99.2221
2013-07-01,98.8987
2013-08-01,99.4897
2013-09-01,100.0210
2013-10-01,99.9037
2013-11-01,100.1582
2013-12-01,100.3740
2014-01-01,99.9899
2014-02-01,100.7471
2014-03-01,101.7435
2014-04-01,101.8273
2014-05-01,102.2392
2014-06-01,102.5774
2014-07-01,102.7954
2014-08-01,102.6322
2014-09-01,102.9417
2014-10-01,102.9611
2014-11-01,103.5978
2014-12-01,103.6151
2015-01-01,102.7923
2015-02-01,102.1366
2015-03-01,101.7869
2015-04-01,101.2255
2015-05-01,100.7675
2015-06-01,100.4588
2015-07-01,101.0893
2015-08-01,100.9165
2015-09-01,100.6330
2015-10-01,100.1563
2015-11-01,99.4366
2015-12-01,98.9471
2016-01-01,99.4391
2016-02-01,98.9232
2016-03-01,98.1635
2016-04-01,98.4775
2016-05-01,98.2549
2016-06-01,98.7315
2016-07-01,98.8452
2016-08-01,98.7427
2016-09-01,98.6552
2016-10-01,98.7237
2016-11-01,98.3443
2016-12-01,99.0406
2017-01-01,98.8158
2017-02-01,98.4356
2017-03-01,99.0492
2017-04-01,100.0416
2017-05-01,100.1280
2017-06-01,100.3370
2017-07-01,100.0865
2017-08-01,99.6323
2017-09-01,99.7482
2017-10-01,100.9893
2017-11-01,101.2493
2017-12-01,101.4871
2018-01-01,101.4852
2018-02-01,101.7319
2018-03-01,102.1943
2018-04-01,103.3551
2018-05-01,102.3810
2018-06-01,103.2256
2018-07-01,103.3561
2018-08-01,104.0585
2018-09-01,104.1038
2018-10-01,103.9297
2018-11-01,104.0126
2018-12-01,104.0451
2019-01-01,103.3598
2019-02-01,102.8251
2019-03-01,102.8361
2019-04-01,102.2748
2019-05-01,102.4176
2019-06-01,102.5425
2019-07-01,102.0057
2019-08-01,102.7814
2019-09-01,102.4601
2019-10-01,101.5878
2019-11-01,102.1494
2019-12-01,101.9421
